,년도,분기,품목,합계
0,2018,1분기,주류,9029
1,2018,1분기,담배류,7184
2,2018,1분기,육류 ,8915
3,2018,1분기,식품류,38725
4,2018,1분기,전자제품,30
5,2018,1분기,조리기구,33
6,2018,1분기,선박부품,3249
7,2018,1분기,악세사리,0
8,2018,1분기,유류,533
9,2018,1분기,조건부선용품,3928
10,2018,1분기,선박폐기물,0
11,2018,1분기,기타,5511
12,2018,2분기,주류,10616
13,2018,2분기,담배류,7858
14,2018,2분기,육류 ,9972
15,2018,2분기,식품류,40218
16,2018,2분기,전자제품,39
17,2018,2분기,조리기구,43
18,2018,2분기,선박부품,3871
19,2018,2분기,악세사리,0
20,2018,2분기,유류,615
21,2018,2분기,조건부선용품,4958
22,2018,2분기,선박폐기물,0
23,2018,2분기,기타,6307
24,2018,3분기,주류,8514
25,2018,3분기,담배류,6683
26,2018,3분기,육류 ,10815
27,2018,3분기,식품류,42312
28,2018,3분기,전자제품,42
29,2018,3분기,조리기구,0
30,2018,3분기,선박부품,3711
31,2018,3분기,악세사리,0
32,2018,3분기,유류,623
33,2018,3분기,조건부선용품,3513
34,2018,3분기,선박폐기물,0
35,2018,3분기,기타,6251
36,2018,4분기,주류,9499
37,2018,4분기,담배류,7189
38,2018,4분기,육류 ,11749
39,2018,4분기,식품류,44712
40,2018,4분기,전자제품,48
41,2018,4분기,조리기구,2
42,2018,4분기,선박부품,3966
43,2018,4분기,악세사리,0
44,2018,4분기,유류,912
45,2018,4분기,조건부선용품,4016
46,2018,4분기,선박폐기물,0
47,2018,4분기,기타,6527
