선사코드,선사명,접안시간,출항시간,체류시간,체류시간_day,체류시간_time,체류시간_totalTime(시간),상태
APL,LINA ERX,2011-12-30 9:00,2012-01-02 14:00,3 days 05:00:00,3,5,77,DEPARTED
APL,APL PHILIPPINES,2012-01-01 10:00,2012-01-01 22:00,0 days 12:00:00,0,12,12,DEPARTED
MAE,SEA LAND,2012-01-01 22:10,2012-01-02 23:25,1 days 01:15:00,1,1,25,DEPARTED
APL,APL PARADISE,2012-01-02 0:10,2012-01-02 19:00,0 days 18:50:00,0,18,18,DEPARTED
APL,APL LOS,2012-01-02 16:00,2012-01-03 2:00,0 days 10:00:00,0,10,10,DEPARTED
APL,JURONG BEBARU,2012-01-02 21:00,2012-01-03 3:00,0 days 06:00:00,0,6,6,DEPARTED
APL,APL ARGENTINA,2012-01-03 19:00,2012-01-04 4:00,0 days 09:00:00,0,9,9,DEPARTED
APL,APL CHINA,2012-01-03 21:20,2012-01-04 12:00,0 days 14:40:00,0,14,14,DEPARTED
APL,APL AMMAN,2012-01-06 13:00,2012-01-06 22:00,0 days 09:00:00,0,9,9,DEPARTED
APL,APL COMMODORE,2012-01-07 8:00,2012-01-07 19:15,0 days 11:15:00,0,11,11,DEPARTED
APL,ARTUS SKX,2012-01-07 13:00,2012-01-07 21:00,0 days 08:00:00,0,8,8,DEPARTED
NSL,BONNY STAR,2012-01-08 3:20,2012-01-08 8:00,0 days 04:40:00,0,4,4,DEPARTED
APL,APL SINGAPORE,2012-01-08 10:30,2012-01-08 22:00,0 days 11:30:00,0,11,11,DEPARTED
MAE,SEA-LAND COMET,2012-01-08 21:10,2012-01-09 13:00,0 days 15:50:00,0,15,15,DEPARTED
APL,APL CALIFORNIA,2012-01-09 3:10,2012-01-09 14:00,0 days 10:50:00,0,10,10,DEPARTED
APL,APL LOS,2012-01-09 15:00,2012-01-10 1:00,0 days 10:00:00,0,10,10,DEPARTED
APL,APL PHILIPPINES,2012-01-10 15:00,2012-01-11 4:00,0 days 13:00:00,0,13,13,DEPARTED
APL,APL SRI,2012-01-10 16:00,2012-01-11 0:01,0 days 08:01:00,0,8,8,DEPARTED
APL,ARTUS SKX,2012-01-12 1:00,2012-01-12 8:00,0 days 07:00:00,0,7,7,DEPARTED
APL,LINA ERX,2012-01-12 10:00,2012-01-12 22:00,0 days 12:00:00,0,12,12,DEPARTED
APL,APL TURKEY,2012-01-12 20:00,2012-01-13 6:00,0 days 10:00:00,0,10,10,DEPARTED
APL,APL SEOUL,2012-01-13 9:00,2012-01-13 16:00,0 days 07:00:00,0,7,7,DEPARTED
APL,ARTUS SKX,2012-01-14 15:00,2012-01-14 19:00,0 days 04:00:00,0,4,4,DEPARTED
APL,APL IRIS,2012-01-15 10:00,2012-01-15 22:00,0 days 12:00:00,0,12,12,DEPARTED
MAE,SEA-LAND LIGHTNING,2012-01-15 19:00,2012-01-16 9:00,0 days 14:00:00,0,14,14,DEPARTED
MOL,MOL PRIORITY,2012-01-15 23:00,2012-01-16 13:00,0 days 14:00:00,0,14,14,DEPARTED
APL,APL LOS,2012-01-16 15:00,2012-01-16 23:59,0 days 08:59:00,0,8,8,DEPARTED
KMD,CAPE FARO,2012-01-17 7:00,2012-01-17 12:00,0 days 05:00:00,0,5,5,DEPARTED
APL,APL SINGAPORE,2012-01-17 12:10,2012-01-18 6:00,0 days 17:50:00,0,17,17,DEPARTED
APL,APL COLOMBIA,2012-01-17 17:10,2012-01-18 3:20,0 days 10:10:00,0,10,10,DEPARTED
