,순번,구분,타입,계약면적(㎡),전용면적(㎡),대지면적(㎡),매매가,보증금 (단위: 만원),월세(단위:만원),주소,기타(세부주소)
0,1,용원동,월세,228.37,123.12,-,-,2000,150,경상남도 창원시 진해구 용원동 단지내상가 코리아시티,단지내상가 코리아시티2층
1,2,용원동,월세,203.24,113.97,-,-,1000,100,경상남도 창원시 진해구 용원동 일반상가 신항주상가,일반상가 신항주상가5층
2,3,용원동,월세,214.42,108.52,-,-,2000,120,경상남도 창원시 진해구 용원동 일반상가 드림타워,일반상가 드림타워4층
3,4,용원동,월세,182.48,98.48,-,-,2000,150,경상남도 창원시 진해구 용원동 일반상가 신항코리아시티,일반상가 신항코리아시티2층
4,5,용원동,월세,388.19,247.08,-,-,6000,300,경상남도 창원시 진해구 용원동 일반상가 재경빌딩,일반상가 재경빌딩3층
5,6,용원동,월세,272.92,153.05,-,-,3000,150,경상남도 창원시 진해구 용원동 일반상가 신항주상가,일반상가 신항주상가4층
6,7,용원동,월세,272.92,153.05,-,-,3000,150,경상남도 창원시 진해구 용원동 일반상가,일반상가4층
7,8,용원동,월세,397.25,397.25,-,-,6000,475,경상남도 창원시 진해구 용원동 일반상가,일반상가1층
8,9,용원동,월세,2542.1,583,-,-,40000,2400,경상남도 창원시 진해구 용원동 일반상가,일반상가1층
9,10,용원동,월세,228.37,123.12,-,-,2000,150,경상남도 창원시 진해구 용원동 일반상가 코리아시티,일반상가 코리아시티2층
10,11,용원동,매매,-,-,1296,60억,-,-,경상남도 창원시 진해구 용원동,대
11,12,용원동,매매,-,-,2899,9억,-,-,경상남도 창원시 진해구 용원동 답,답
12,13,용원동,매매,212,119.06,-,7억,-,-,경상남도 창원시 진해구 용원동 단지내상가 신항에비뉴타워,단지내상가 신항에비뉴타워2층
13,14,용원동,매매,276.65,151.33,-,"1억 5,000",-,-,경상남도 창원시 진해구 용원동 일반상가 용원빌딩,일반상가 용원빌딩6층
14,15,용원동,매매,-,-,3501,"1,059억",-,-,경상남도 창원시 진해구 용원동,대
15,16,용원동,매매,-,-,266,"3억 2,000",-,-,경상남도 창원시 진해구 용원동,대
16,17,용원동,매매,-,-,7769,155억,-,-,경상남도 창원시 진해구 용원동,대
17,18,용원동,매매,213.76,113.74,-,"9억 7,000",-,-,경상남도 창원시 진해구 용원동 일반상가 마린타워,일반상가 마린타워2층
18,19,용원동,매매,836.03,836.03,-,35억,-,-,경상남도 창원시 진해구 용원동 일반상가 맥도날드 옆,일반상가 맥도날드 옆2층
19,20,신호동,월세,237.04,172.72,-,-,2000,150,부산시 강서구 신호동 일반상가 골든뷰상가,일반상가 골든뷰상가5층
20,21,신호동,월세,337.57,205.32,-,-,2000,150,부산시 강서구 신호동 일반상가,일반상가4층
21,22,신호동,월세,307.71,218.02,-,-,3000,200,부산시 강서구 신호동 일반상가,일반상가2층
22,23,신호동,월세,218.02,218.02,-,-,3000,200,부산시 강서구 신호동 일반상가,일반상가2층
23,24,신호동,월세,655.94,108.24,-,-,2000,150,부산시 강서구 신호동 일반상가,일반상가2층
