,년도,월,컨테이너,체류시간_totalTime(시간)
0,2013,1,23818165,1088
1,2013,2,21777930,1052
2,2013,3,26068371,1175
3,2013,4,25903253,1203
4,2013,5,25397562,1180
5,2013,6,25581027,1196
6,2013,7,25771392,1221
7,2013,8,24572137,964
8,2013,9,24250059,1038
9,2013,10,25221780,924
10,2013,11,25118429,1108
11,2013,12,26179697,1201
12,2014,1,26515130,1141
13,2014,2,22329432,1015
14,2014,3,28100356,1157
15,2014,4,27846017,1169
16,2014,5,26665180,1138
17,2014,6,27444889,1208
18,2014,7,27418977,1090
19,2014,8,26957202,1141
20,2014,9,26260981,895
21,2014,10,28710816,1067
22,2014,11,26310376,1125
23,2014,12,26936347,1088
24,2015,1,28360923,1112
25,2015,2,27052143,1427
26,2015,3,28373705,1558
27,2015,4,28165372,1553
28,2015,5,27905365,1605
29,2015,6,27801498,1527
30,2015,7,28138980,1575
31,2015,8,27788184,1491
32,2015,9,27790401,1513
33,2015,10,27541499,1522
34,2015,11,26418527,1368
35,2015,12,27714961,1468
36,2016,1,26625291,1383
37,2016,2,26864836,1443
38,2016,3,28661030,1427
39,2016,4,27158981,1395
40,2016,5,28346472,1423
41,2016,6,27650651,1413
42,2016,7,29677729,1613
43,2016,8,28442784,1434
44,2016,9,27907395,1601
45,2016,10,29542666,1614
46,2016,11,27944245,1542
47,2016,12,27763265,1678
48,2017,1,31851032,1606
49,2017,2,25883397,1566
50,2017,3,31573364,1669
51,2017,4,32492336,1673
52,2017,5,30491782,1402
53,2017,6,39029511,1120
54,2017,7,32697198,1148
55,2017,8,29984272,1240
56,2017,9,29290050,1223
57,2017,10,29866470,1313
58,2017,11,30559001,1287
59,2017,12,32144396,2074
60,2018,1,29948424,2001
61,2018,2,29893665,1929
62,2018,3,30354716,2113
63,2018,4,35260699,2160
64,2018,5,42688022,2424
65,2018,6,38303545,2930
66,2018,7,42122798,3149
67,2018,8,37554829,3404
68,2018,9,38622443,3527
69,2018,10,37931385,3417
70,2018,11,38515382,3513
71,2018,12,38435533,3489
72,2019,1,34562177,3705
73,2019,2,33300548,3785
74,2019,3,36921219,4428
75,2019,4,35240393,5693
76,2019,5,37434073,5862
77,2019,6,40332066,5547
78,2019,7,40245963,5885
79,2019,8,41674569,5983
80,2019,9,36085439,5678
81,2019,10,37592308,5608
82,2019,11,35405859,6327
83,2019,12,38546489,6671
84,2020,1,32892745,7149
85,2020,2,29911546,6092
86,2020,3,34528350,7534
87,2020,4,30793667,7415
88,2020,5,29776399,7357
89,2020,6,30937962,7551
90,2020,7,31847742,8530
91,2020,8,31702352,9122
92,2020,9,32073284,7770
93,2020,10,35177948,8349
94,2020,11,36047373,8384
95,2020,12,34617474,8501
96,2021,1,34108728,9128
97,2021,2,31047023,7778
98,2021,3,36095466,8565
99,2021,4,35782420,9470
100,2021,5,36709976,10257
101,2021,6,35499570,10819
102,2021,7,36455429,10146
103,2021,8,34731385,10742
104,2021,9,34137418,11096
105,2021,10,36817722,11891
106,2021,11,34123158,12710
107,2021,12,34510917,14135
108,2022,1,36560923,15833
109,2022,2,31763649,13766
110,2022,3,33563686,14851
111,2022,4,34322882,15631
112,2022,5,35561220,16404
113,2022,6,33570228,15440
114,2022,7,37475451,17881
115,2022,8,34654034,19161
116,2022,9,28412085,15390
117,2022,10,32971406,16673
118,2022,11,31876606,17338
119,2022,12,30599443,16446
120,2023,1,33775988,18036
121,2023,2,30614941,15293
122,2023,3,36307614,17775
123,2023,4,35789154,17069
124,2023,5,35273725,16699
125,2023,6,33655766,17291
126,2023,7,34477321,17047
127,2023,8,34292855,17367
128,2023,9,35206478,17003
129,2023,10,33865762,18293
130,2023,11,35283219,16577
131,2023,12,34096319,12671
