,카테고리,회사명,대표자명,주소,홈페이지,전화번호,팩스번호,업종,설립일,lat,lng
0,육류,가나축산물유통,정성교,"경상북도 포항시 북구 용당로 24-21 (용흥동, 서부종합시장)",,054-274-4253, ,육류 도매업,2013-12-04,36.0302923,129.3582577
1,육류,가람유통,김승욱,경기도 용인시 기흥구 신구로54번길 5-7 (구갈동)106,,0312747894, ,육류 도매업,2013-09-03,37.2773515,127.1101103
2,육류,가흥,진종팔,부산광역시 사상구 사상로 557 (모라동),,051-304-9973,051-304-9976,육류 도매업,2002-02-07,35.1940102,128.9897914
3,육류,강남프라임,나상현,"서울특별시 강남구 삼성로 535 4층 402호(삼성동, 삼화빌딩)",,02-3444-6888,02-3443-4302,육류 도매업,2008-01-31,37.5096829,127.0546949
4,육류,견우마을,최낙명,서울특별시 강동구 성내동 549 2층,,02-479-2222,02-479-1975,육류 도매업,2003-01-21,37.5286128,127.1249762
5,육류,견우푸드,최낙명,경기도 광주시 곤지암읍 곤지암천로 149-41 (신대리),,02-479-2222,02-479-1975,육류 도매업,2005-03-17,37.3584287,127.3291966
6,육류,고기랑농업회사법인,이상,대전광역시 중구 성산로 11 (안영동) 으뜸원포크,,042-535-8852,042-535-8853,육류 도매업,2009-09-02,36.2906752,127.3800055
7,육류,고기연구소,전의선,서울특별시 성동구 고산자로 335-16 (마장동),,02-2292-1700,02-2292-5802,육류 도매업,2017-04-26,37.5697239,127.0368893
8,육류,교촌에프앤비,윤진호,경상북도 칠곡군 가산면 송신로 78,kyochonfnb.com,031-371-3500,031-371-3696,육류 도매업,1999-11-12,36.0932755,128.5347271
9,육류,국제식품,김환영,인천광역시 서구 백범로630번길 34 (가좌동),koreameat.net/,032-573-8181,032-573-8180,육류 도매업,1998-02-06,37.4809299,126.6867951
10,육류,국제식품,정정교,"부산광역시 사상구 낙동대로 1498 (삼락동, 주식회사국제식품)",,051-304-4477,051-301-5168,육류 도매업,1994-12-15,35.1922466,128.9829228
11,육류,굿모닝푸드,정진관,경기도 하남시 샘재로 76 (천현동)굿모닝푸드,www.goodmorningmeatshop.com,031-793-6676,031-793-6694,육류 도매업,2006-08-01,37.5280489,127.2106962
12,육류,글로벌미트컴퍼니,김연포,서울특별시 성동구 마장로31길 40 (마장동) 112호,,02-2299-9200,02-2299-3922,육류 도매업,2011-12-01,37.5697429,127.0384113
13,육류,금대유통,최회신,서울특별시 금천구 범안로15길 26 1층 (독산동),,02-894-9575, ,육류 도매업,2007-08-30,37.4677557,126.8929891
14,육류,깐부,김승일,"서울특별시 강남구 도산대로58길 16 (청담동, 청담빌딩)",www.kkanbu.co.kr,02-1544-9226,031-889-5068,육류 도매업,2008-02-18,37.5222431,127.0412593
15,육류,나진코퍼레이션,이수영,"서울특별시 용산구 청파로 109 507호 (한강로3가, 나진전자월드빌딩)",,02-703-2537,02-704-3025,육류 도매업,1997-05-07,37.5336432,126.9633505
16,육류,남상푸드,최중원,부산광역시 사상구 사상로 561 (모라동),,051-714-5300,051-714-5305,육류 도매업,2013-10-22,35.1944696,128.9898761
17,육류,네이쳐스푸드,정문석,경기도 광주시 광남안로129번길 19 (목동),www.naturesfood.co.kr,031-765-8221,031-765-8223,육류 도매업,2015-11-03,37.3832881,127.2160014
18,육류,농업회사법인글로미트,신임호,"서울특별시 성동구 무학로14길 27 (하왕십리동, JC빌딩) 301,302호",,02-3395-7801,02-3395-7803,육류 도매업,2006-05-01,37.56833170000001,127.0331569
19,육류,농업회사법인금천,조흥연,경기도 안양시 만안구 박달동 683-2,www.ekcm.co.kr,0314452584,0314418018,육류 도매업,2002-04-06,37.4058445,126.8855681
20,육류,농업회사법인내쇼날푸드,권기현,"경기도 하남시 하남대로 947 (풍산동, 하남테크노밸리U1CENTER) D동 305,306호",www.nationalfood.co.kr,0222950900,0222950901,육류 도매업,1999-06-25,37.5453429,127.1936131
21,육류,농업회사법인다하누,최계경,강원도 영월군 주천면 주천시장길 22 (주천리) 1232-4,www.dahanoo.com,033-372-2256,033-372-2256,육류 도매업,2009-05-18,37.2709647,128.2666433
22,육류,농업회사법인대성웰그로,김영숙,"경기도 성남시 수정구 위례서일로 26 (창곡동, 라크리움) 804, 805, 806호",,031-751-3400, ,육류 도매업,2010-04-01,37.4647658,127.1386705
23,육류,농업회사법인선봉프라임,김종철,경기도 성남시 수정구 수정남로 120 (신흥동),,031-732-5800,031-732-5805,육류 도매업,2010-05-25,37.44684910000001,127.146461
24,육류,농업회사법인순우리,이조영,경기도 광주시 상태길81번길 31 (신현동),,0317266400, ,육류 도매업,2001-08-31,37.3530975,127.1463848
25,육류,농업회사법인영식품,최시영,대전광역시 서구 우명길 33-8 (우명동),,042-581-2144,042-581-2145,육류 도매업,2014-09-22,36.2236012,127.2941626
26,육류,농업회사법인우리한우,김범수,경기도 광주시 곤지암읍 경충대로498번길 131 (곤지암리),,0317686394,0317684852,육류 도매업,2016-01-11,37.339975,127.3628035
27,육류,농업회사법인원미트푸드,장정호,경기도 구리시 인창2로 77 (인창동) 전층,onemeatfood.modoo.at/,02-1661-5474,02-476-4166,육류 도매업,2016-04-01,37.6088181,127.1287365
28,육류,다커머스에프앤씨,오강석,서울특별시 성동구 도선동 신한넥스텔 1210호,,070-4348-2025,-,육류 도매업,2008-01-04,37.5637028,127.0356862
29,육류,대명미트,박정현,서울특별시 성동구 마장동 500 - 6,,02-2294-9771,02-2294-9733,육류 도매업,2000-04-11,37.5691597,127.0385378
30,육류,"대상네트웍스(DAESANGNetworksCo.,Ltd.)",최성수,"서울특별시 성동구 청계천로12가길 68 (마장동, 창원빌딩)",daesangdsn.com/,02-2297-8886,02-2297-8887,육류 도매업,2003-11-04,37.5709242,127.037297
31,육류,대웅엠엔에프,손병두,경상남도 김해시 삼방동 104-7,,055-345-5970, ,육류 도매업,2001-02-05,35.2403027,128.9121536
32,육류,대원벨리,김정훈,부산광역시 사상구 낙동대로1530번길 29 (삼락동),,0518173450,0518183450,육류 도매업,2012-03-01,35.19397060000001,128.9863086
33,육류,대인계육유통,"현철호, 현광식",경기도 양주시 백석읍 중앙로 164-8 (복지리),,031-879-9072, ,육류 도매업,2009-01-01,37.7935495,126.9941006
34,육류,대전맥시칸,유정헌,충청북도 청원군 현도면매봉리 148번지,,043-260-6820,043-260-6819,육류 도매업,1994-04-19,36.4767146,127.4257675
35,육류,더그린하우스,이지배,경상남도 고성군 고성읍 월평로 169 (율대리),,070-4370-3095,02-555-5084,육류 도매업,2006-03-27,34.9663127,128.3499599
36,육류,더베스트미트,박선희,경기도 용인시 기흥구 농서로 51 (농서동) 3층,,0222815595,0222816593,육류 도매업,2021-01-06,37.2226956,127.0915445
37,육류,덕정무역,최덕순,서울특별시 서초구 서초동 1536-14 서울빌딩 4층,www.duckjung.com,02-598-4030,02-598-8480,육류 도매업,1996-06-22,37.4862883,127.009986
38,육류,덕호,진규황,부산광역시 사상구 사상로 557 (모라동),,0513012777,0513049970,육류 도매업,2011-06-27,35.1940102,128.9897914
39,육류,도드람에프씨,김운경,"경기도 안성시 일죽면 일생로 185-11 (금산리, 도드람엘피씨공사), 도드람에프씨",bonrae.co.kr/,02-2138-5323,070-8677-8184,육류 도매업,2012-07-01,37.0740208,127.4947944
40,육류,동아푸드,김영욱,"서울특별시 영등포구 63로 50 54층 (여의도동, 63한화생명빌딩)",www.dongahfood.com,02-514-3177,02-514-5482,육류 도매업,2002-07-02,37.5197898,126.9400579
41,육류,동암비티,최준식,서울특별시 광진구 구의동 546-4 테크노마트빌딩 2711호,www.dongahm.com,3424-2500,3424-4308,육류 도매업,2002-08-23,37.5356993,127.095765
42,육류,디에이치통상,한대중,경기도 하남시 서하남로43번길 160-1 (감북동),,02-477-2980,02-477-2988,육류 도매업,2012-09-25,37.5204222,127.1534747
43,육류,또봉이에프앤에스,최종성,"경기도 용인시 기흥구 죽전로 11 7층(보정동, 미래시티)",ttobongee.com,031-242-6877,031-889-3680,육류 도매업,2015-03-13,37.3207514,127.1098711
44,육류,라온축산유통,문우철,서울특별시 성동구 마장동 470-4 대영빌딩 3층,,02-2291-9494,02-2299-3640,육류 도매업,2006-03-02,37.571228,127.0375522
45,육류,레인보우미트,김성수,경기도 용인시 기흥구 구성로78번길 4 레인보우빌딩 5층(언남동),,031-282-0379,031-624-0013,육류 도매업,2010-07-23,37.29402049999999,127.1181699
46,육류,렉스팜,"박성우, 이인성",경기도 안성시 일죽면 금산리 596-1,www.lexfarm.com,031-671-9888,031-671-9777,육류 도매업,1999-07-14,37.0737132,127.4932242
47,육류,리천,이영종,"경기도 이천시 경충대로 2773 (관고동, (주)리천)",,01036343194,0507-0315-3860,육류 도매업,2011-10-26,37.2845396,127.4295924
48,육류,마밴,신진희,경상남도 김해시 인제로 436 2층(삼방동),,051-304-4478, ,육류 도매업,2015-03-05,35.2665568,128.8961656
49,육류,마포미트,정환삼,서울특별시 성동구 마장동 818 현대아파트상가 306호,,02-2295-7795,02-2295-7784,육류 도매업,2004-02-18,37.5694591,127.0425481
50,육류,맥시칸산업,김한,부산광역시 강서구 대저1동 2323,.,051-304-6000,051-941-6007,육류 도매업,1999-08-23,35.2105055,128.9823582
51,육류,멕시카나,최광은,서울특별시 송파구 송파동 185-2,mexicana.co.kr,02-420-9995,02-417-1865,육류 도매업,2000-07-02,37.4993184,127.1159498
52,육류,멘토미트,김병례,"서울특별시 성동구 고산자로 284 (행당동, 성동샤르망)421호",,02-2292-3331,02-2292-3379,육류 도매업,2006-07-26,37.5649229,127.0368108
53,육류,모닝에프앤씨,임화영,"서울특별시 성동구 마장로42길 14 201호 (마장동, 세림아파트)",,01041716380, ,육류 도매업,2019-11-06,37.5652954,127.0451834
54,육류,모아에프앤비,조철유,"서울특별시 강동구 양재대로98길 29 (둔촌동, 삼성아트빌) 2층 201호",,02-6423-3710, ,육류 도매업,2016-03-23,37.5306305,127.1392661
55,육류,미스터해우,차대주,"경기도 부천시 옥산로 7 (중동, 리첸시아중동) A동 222호",,032-614-2315, ,육류 도매업,2007-11-16,37.4950891,126.7794529
56,육류,미트라인,이기웅,경기도 안산시 상록구 양지편2길 44 (이동)101호,,031-409-1941,031-409-1943,육류 도매업,2001-10-24,37.3111589,126.8493705
57,육류,미트스파클,이춘화,"서울특별시 성동구 마장로 273 , 상가동 206호 (마장동, 삼성아파트)",,070-7599-2826, ,육류 도매업,2020-03-06,37.5660391,127.0400744
